algoritmo,tipo_entrada,tamanho,tempo,comparacoes
bubble,sorted,1000,0.001636,499500
bubble,sorted,10000,0.165542,49995000
bubble,sorted,100000,11.573696,4999950000
bubble,sorted,500000,299.735348,124999750000
bubble,sorted,1000000,1114.671632,499999500000
bubble,random,1000,0.001587,499500
bubble,random,10000,0.145275,49995000
bubble,random,100000,22.286485,4999950000
bubble,random,500000,581.518784,124999750000
bubble,random,1000000,2346.946634,499999500000
bubble,desc,1000,0.001923,499500
bubble,desc,10000,0.147956,49995000
bubble,desc,100000,14.460232,4999950000
bubble,desc,500000,401.524563,124999750000
bubble,desc,1000000,1499.819318,499999500000
insertion,sorted,1000,0.000003,999
insertion,sorted,10000,0.000036,9999
insertion,sorted,100000,0.000297,99999
insertion,sorted,500000,0.001338,499999
insertion,sorted,1000000,0.002399,999999
insertion,random,1000,0.000663,247479
insertion,random,10000,0.050293,24787531
insertion,random,100000,5.221211,2501614570
insertion,random,500000,136.498976,62459710295
insertion,random,1000000,540.587898,250175424025
insertion,desc,1000,0.001506,499500
insertion,desc,10000,0.144472,49995000
insertion,desc,100000,10.752210,4999950000
insertion,desc,500000,259.269922,124999750000
insertion,desc,1000000,1022.970184,499999500000
merge,sorted,1000,0.000100,5044
merge,sorted,10000,0.001090,69008
merge,sorted,100000,0.013247,853904
merge,sorted,500000,0.051685,4783216
merge,sorted,1000000,0.109175,10066432
merge,random,1000,0.000180,8711
merge,random,10000,0.001843,120467
merge,random,100000,0.018261,1536031
merge,random,500000,0.091929,8836607
merge,random,1000000,0.193165,18674039
merge,desc,1000,0.000111,4932
merge,desc,10000,0.001158,64608
merge,desc,100000,0.010277,815024
merge,desc,500000,0.050950,4692496
merge,desc,1000000,0.117609,9884992
quick,sorted,1000,0.002399,499500
quick,sorted,10000,0.183655,49995000    
quick,sorted,100000,14.938455,4999950000
quick,sorted,500000,375.938352,124999750000
quick,sorted,1000000,1557.121538,499999500000
quick,random,1000,0.000115,10408
quick,random,10000,0.001607,159364
quick,random,100000,0.020146,2040589
quick,random,500000,0.076136,11649694
quick,random,1000000,0.140517,24210306
quick,desc,1000,0.001820,499500
quick,desc,10000,0.149600,49995000
quick,desc,100000,12.242712,4999950000
quick,desc,500000,325.452475,124999750000
quick,sorted,1000000,1337.033326,499999500000
