algoritmo,tipo_entrada,tamanho,tempo,comparacoes
bubble,sorted,1000,0.003307,499500
bubble,sorted,10000,0.135962,49995000
bubble,sorted,100000,11.770788,4999950000
bubble,sorted,500000,265.151428,124999750000
bubble,sorted,1000000,1083.972991,499999500000
bubble,random,1000,0.001616,499500
bubble,random,10000,0.156033,49995000
bubble,random,100000,22.533571,4999950000
bubble,random,500000,602.009812,124999750000
bubble,random,1000000,2457.711353,499999500000
bubble,desc,1000,0.001478,499500
bubble,desc,10000,0.154648,49995000
bubble,desc,100000,15.805858,4999950000
bubble,desc,500000,382.550506,124999750000
bubble,desc,1000000,1531.683487,499999500000
insertion,sorted,1000,0.000003,999
insertion,sorted,10000,0.000024,9999
insertion,sorted,100000,0.000251,99999
insertion,sorted,500000,0.001415,499999
insertion,sorted,1000000,0.002622,999999
insertion,random,1000,0.000503,247479
insertion,random,10000,0.049156,24787531
insertion,random,100000,5.118313,2501614570
insertion,random,500000,122.054675,62459710295
insertion,random,1000000,492.072990,250175424025
insertion,desc,1000,0.001002,499500
insertion,desc,10000,0.101531,49995000
insertion,desc,100000,10.310737,4999950000
insertion,desc,500000,252.234654,124999750000
insertion,desc,1000000,994.987503,499999500000
merge,sorted,1000,0.000064,5044
merge,sorted,10000,0.000722,69008
merge,sorted,100000,0.008699,853904
merge,sorted,500000,0.056334,4783216
merge,sorted,1000000,0.107081,10066432
merge,random,1000,0.000106,8711
merge,random,10000,0.001306,120467
merge,random,100000,0.015864,1536031
merge,random,500000,0.093419,8836607
merge,random,1000000,0.192492,18674039
merge,desc,1000,0.000061,4932
merge,desc,10000,0.000736,64608
merge,desc,100000,0.008501,815024
merge,desc,500000,0.052205,4692496
merge,desc,1000000,0.096877,9884992
quick,sorted,1000,0.001658,499500
quick,sorted,10000,0.159757,49995000
quick,sorted,100000,15.048161,4999950000
quick,sorted,500000,391.647454,124999750000
quick,sorted,1000000,1496.505724,499999500000
quick,random,1000,0.000071,10408
quick,random,10000,0.000911,159364
quick,random,100000,0.011108,2040589
quick,random,500000,0.066929,11649694
quick,random,1000000,0.130921,24210306
quick,desc,1000,0.001322,499500
quick,desc,10000,0.118918,49995000
quick,desc,100000,11.333782,4999950000
quick,desc,500000,290.283886,124999750000
quick,desc,1000000,1149.932007,499999500000
